Parameter,Value

doesnt work
start_x,0.0779668437909727
start_y,0.56649948871118
depth,3
branch_length,0.06661445884568137
angle,2.0242157742263123
thickness,0.01234361451764053
stiffness,589.5344173301614
damping,0.0395383215311943
num_sub_branches,6
sub_branch_angle,1.411286048417294
sub_branch_length_ratio,0.6064280135426461
actuation_start,0
ptype,1

doesnt work
start_x,0.0862046359829095
start_y,0.40827007878825056
depth,2
branch_length,0.18395222418864404
angle,3.9104509234563474
thickness,0.0124670965120534
stiffness,583.051083300591
damping,0.0389494835834026
num_sub_branches,6
sub_branch_angle,0.9714339020007343
sub_branch_length_ratio,0.5533396983550779
actuation_start,0
ptype,1

doesnt work
start_x,0.15134528617803367
start_y,0.5482852468448115
depth,4
branch_length,0.17346082443995542
angle,3.684664372272545
thickness,0.006347390165971219
stiffness,516.2210058921587
damping,0.049825544706404115
num_sub_branches,6
sub_branch_angle,1.4664977121488385
sub_branch_length_ratio,0.6493082505551848
actuation_start,0
ptype,1

doesnt work
start_x,0.10301138090332827
start_y,0.5664411641077467
depth,4
branch_length,0.09119065159731889
angle,2.1286838293012367
thickness,0.008456850670281381
stiffness,418.5695689791989
damping,0.05593068146196993
num_sub_branches,7
sub_branch_angle,0.7394743579152536
sub_branch_length_ratio,0.5860774291987836
actuation_start,0
ptype,1

WORKS
start_x,0.042897088304759134
start_y,0.5636344078542859
depth,3
branch_length,0.08186008911529902
angle,0.41041744186313506
thickness,0.005228079198007297
stiffness,557.7970858522052
damping,0.053642630951609024
num_sub_branches,5
sub_branch_angle,0.719590388427915
sub_branch_length_ratio,0.6744024096134611
actuation_start,0
ptype,1

WORKS
start_x,0.15437931945607813
start_y,0.522778820439509
depth,4
branch_length,0.1842022793211337
angle,0.9727991906789241
thickness,0.01654588992265776
stiffness,585.4588091120362
damping,0.05052489878398894
num_sub_branches,3
sub_branch_angle,0.7033410148733897
sub_branch_length_ratio,0.6364818569146584
actuation_start,0
ptype,1

WORKS but too non complex
start_x,0.12690710258985147
start_y,0.5340985281247944
depth,2
branch_length,0.1506945182336179
angle,1.654908945817566
thickness,0.007126082940392911
stiffness,518.6469907389297
damping,0.051689934486409087
num_sub_branches,3
sub_branch_angle,0.6709955607739774
sub_branch_length_ratio,0.5362804157003771
actuation_start,0
ptype,1

WORKS but deformed
start_x,0.11889883076184392
start_y,0.5260809438592097
depth,2
branch_length,0.11855128083272042
angle,1.1243318254883066
thickness,0.01945013947687198
stiffness,559.8048107473506
damping,0.051545109630415184
num_sub_branches,4
sub_branch_angle,0.7912729748116382
sub_branch_length_ratio,0.6609002415072026
actuation_start,0
ptype,1

NOT WORK
start_x,0.06842620638400021
start_y,0.45296293384662384
depth,2
branch_length,0.1964020892664633
angle,2.929873599738257
thickness,0.014695432214335391
stiffness,426.09686032199977
damping,0.06842696783403818
num_sub_branches,3
sub_branch_angle,0.9922994220677595
sub_branch_length_ratio,0.5787044633177522
actuation_start,0
ptype,1

start_x,0.19742297013134869
start_y,0.5570510576663258
depth,4
branch_length,0.19651283478071985
angle,0.5689385024593208
thickness,0.01975817360147496
stiffness,514.0919986788998
damping,0.05673606720441795
num_sub_branches,5
sub_branch_angle,1.249639249599368
sub_branch_length_ratio,0.6066902458671303
actuation_start,0
ptype,1

